"","associated_gene","Human (Adult)","Human (Adult)_Detected_Num_Isoseq","Human (Adult)_Known_Num_Gencode","Human (Adult)_Normalised","Human (Fetal)","Human (Fetal)_Detected_Num_Isoseq","Human (Fetal)_Known_Num_Gencode","Human (Fetal)_Normalised","Detected","isoseq_comparison_Human (Adult)vsHuman (Fetal)","isoseq_comparison_Human (Fetal)vsHuman (Adult)","isoseq_comparison_normalisedHuman (Adult)vsHuman (Fetal)","isoseq_comparison_normalisedHuman (Fetal)vsHuman (Adult)","isoseq_comparison_diff"
"4","A2M","Human (Adult)",2,13,0.153846153846154,"Human (Fetal)",1,13,0.0769230769230769,"Both",2,0.5,2,0.5,1
"13","AAAS","Human (Adult)",4,20,0.2,"Human (Fetal)",5,20,0.25,"Both",0.8,1.25,0.8,1.25,1
"14","AACS","Human (Adult)",3,12,0.25,"Human (Fetal)",2,12,0.166666666666667,"Both",1.5,0.666666666666667,1.5,0.666666666666667,1
"22","AADAT","Human (Adult)",1,8,0.125,"Human (Fetal)",3,8,0.375,"Both",0.333333333333333,3,0.333333333333333,3,2
"23","AAGAB","Human (Adult)",3,7,0.428571428571429,"Human (Fetal)",2,7,0.285714285714286,"Both",1.5,0.666666666666667,1.5,0.666666666666667,1
"26","AAMP","Human (Adult)",3,10,0.3,"Human (Fetal)",6,10,0.6,"Both",0.5,2,0.5,2,3
"28","AAR2","Human (Adult)",1,3,0.333333333333333,"Human (Fetal)",2,3,0.666666666666667,"Both",0.5,2,0.5,2,1
"30","AARS","Human (Adult)",3,7,0.428571428571429,"Human (Fetal)",2,7,0.285714285714286,"Both",1.5,0.666666666666667,1.5,0.666666666666667,1
"31","AARS2","Human (Adult)",1,2,0.5,"Human (Fetal)",1,2,0.5,"Both",1,1,1,1,0
"32","AARSD1","Human (Adult)",3,19,0.157894736842105,"Human (Fetal)",3,19,0.157894736842105,"Both",1,1,1,1,0
"35","AASDHPPT","Human (Adult)",1,5,0.2,"Human (Fetal)",1,5,0.2,"Both",1,1,1,1,0
"38","AATF","Human (Adult)",1,9,0.111111111111111,"Human (Fetal)",1,9,0.111111111111111,"Both",1,1,1,1,0
"39","AATK","Human (Adult)",4,11,0.363636363636364,"Human (Fetal)",1,11,0.0909090909090909,"Both",4,0.25,4,0.25,3
"41","ABAT","Human (Adult)",2,16,0.125,"Human (Fetal)",2,16,0.125,"Both",1,1,1,1,0
"53","ABCA2","Human (Adult)",4,24,0.166666666666667,"Human (Fetal)",1,24,0.0416666666666667,"Both",4,0.25,4,0.25,3
"54","ABCA3","Human (Adult)",1,6,0.166666666666667,"Human (Fetal)",2,6,0.333333333333333,"Both",0.5,2,0.5,2,1
"56","ABCA5","Human (Adult)",3,14,0.214285714285714,"Human (Fetal)",1,14,0.0714285714285714,"Both",3,0.333333333333333,3,0.333333333333333,2
"70","ABCB6","Human (Adult)",5,13,0.384615384615385,"Human (Fetal)",3,13,0.230769230769231,"Both",1.66666666666667,0.6,1.66666666666667,0.6,2
"71","ABCB7","Human (Adult)",1,17,0.0588235294117647,"Human (Fetal)",1,17,0.0588235294117647,"Both",1,1,1,1,0
"72","ABCB8","Human (Adult)",2,22,0.0909090909090909,"Human (Fetal)",1,22,0.0454545454545455,"Both",2,0.5,2,0.5,1
"73","ABCB9","Human (Adult)",3,21,0.142857142857143,"Human (Fetal)",1,21,0.0476190476190476,"Both",3,0.333333333333333,3,0.333333333333333,2
"75","ABCC10","Human (Adult)",1,10,0.1,"Human (Fetal)",1,10,0.1,"Both",1,1,1,1,0
