Gene	Biotype	Gene_start	Gene_end	Index_SNP	P-value	CLOZUK_loci	chr	Loci_start	Loci_end	GWS in CLOZUK
MHC	-	-	-	rs1233578	3.48E-31	1	6	28303247	28712247	Yes
DPYD	protein_coding	97543299	98386605	rs2660304	3.36E-19	2	1	97792625	98559084	Yes
MIR137	miRNA	98511626	98511727	rs2660304	3.36E-19	2	1	97792625	98559084	Yes
ARL3	protein_coding	104433488	104474164	rs12416331	6.20E-19	3	10	104423800	105165583	Yes
AS3MT	protein_coding	104629273	104661656	rs12416331	6.20E-19	3	10	104423800	105165583	Yes
C10orf32	protein_coding	104613980	104624718	rs12416331	6.20E-19	3	10	104423800	105165583	Yes
CNNM2	protein_coding	104678050	104849978	rs12416331	6.20E-19	3	10	104423800	105165583	Yes
CYP17A1	protein_coding	104590288	104597290	rs12416331	6.20E-19	3	10	104423800	105165583	Yes
INA	protein_coding	105036920	105050108	rs12416331	6.20E-19	3	10	104423800	105165583	Yes
NT5C2	protein_coding	104845940	104953056	rs12416331	6.20E-19	3	10	104423800	105165583	Yes
PCGF6	protein_coding	105062553	105110891	rs12416331	6.20E-19	3	10	104423800	105165583	Yes
PDCD11	protein_coding	105156405	105206049	rs12416331	6.20E-19	3	10	104423800	105165583	Yes
SFXN2	protein_coding	104474295	104503249	rs12416331	6.20E-19	3	10	104423800	105165583	Yes
TAF5	protein_coding	105127724	105148822	rs12416331	6.20E-19	3	10	104423800	105165583	Yes
TRIM8	protein_coding	104404253	104418164	rs12416331	6.20E-19	3	10	104423800	105165583	Yes
USMG5	protein_coding	105148798	105156223	rs12416331	6.20E-19	3	10	104423800	105165583	Yes
WBP1L	protein_coding	104503727	104576021	rs12416331	6.20E-19	3	10	104423800	105165583	Yes
CACNA1C	protein_coding	2079952	2802108	rs2007044	3.22E-18	4	12	2321860	2523731	Yes
TSNARE1	protein_coding	143293441	143484601	rs58033671	1.74E-15	5	8	143309503	143330533	Yes
SLC39A8	protein_coding	103172198	103352415	rs13107325	7.98E-15	6	4	103146888	103198090	Yes
MAD1L1	protein_coding	1855429	2272878	rs10650434	8.20E-15	7	7	1896096	2190096	Yes
ZSWIM6	protein_coding	60628100	60841997	rs7701440	1.10E-14	8	5	60499143	60843543	Yes
ABCB9	protein_coding	123405498	123466196	rs2851447	1.86E-14	9	12	123448113	123909113	Yes
ARL6IP4	protein_coding	123464607	123467456	rs2851447	1.86E-14	9	12	123448113	123909113	Yes
C12orf65	protein_coding	123717463	123742506	rs2851447	1.86E-14	9	12	123448113	123909113	Yes
CDK2AP1	protein_coding	123745528	123756881	rs2851447	1.86E-14	9	12	123448113	123909113	Yes
MPHOSPH9	protein_coding	123636867	123728561	rs2851447	1.86E-14	9	12	123448113	123909113	Yes
OGFOD2	protein_coding	123459127	123464590	rs2851447	1.86E-14	9	12	123448113	123909113	Yes
PITPNM2	protein_coding	123468027	123634562	rs2851447	1.86E-14	9	12	123448113	123909113	Yes
RILPL2	protein_coding	123899936	123921264	rs2851447	1.86E-14	9	12	123448113	123909113	Yes
SBNO1	protein_coding	123773656	123849390	rs2851447	1.86E-14	9	12	123448113	123909113	Yes
SETD8	protein_coding	123868320	123893905	rs2851447	1.86E-14	9	12	123448113	123909113	Yes
AC073043.2	ncRNA	200625267	200715896	rs2949006	5.65E-14	10	2	200715237	200848037	Yes
C2orf47	protein_coding	200820040	200873263	rs2949006	5.65E-14	10	2	200715237	200848037	Yes
C2orf69	protein_coding	200775979	200820658	rs2949006	5.65E-14	10	2	200715237	200848037	Yes
TYW5	protein_coding	200794698	200820459	rs2949006	5.65E-14	10	2	200715237	200848037	Yes
FES	protein_coding	91426925	91439006	rs4702	8.30E-14	11	15	91416560	91429040	Yes
FURIN	protein_coding	91411822	91426688	rs4702	8.30E-14	11	15	91416560	91429040	Yes
MAN2A2	protein_coding	91445448	91465814	rs4702	8.30E-14	11	15	91416560	91429040	Yes
TRANK1	protein_coding	36868311	36986548	rs75968099	1.05E-13	12	3	36843183	36945783	Yes
AL049840.1	protein_coding	104177607	104179149	rs71417868	1.36E-13	13	14	103996234	104184834	Yes
APOPT1	protein_coding	104029299	104073860	rs71417868	1.36E-13	13	14	103996234	104184834	Yes
BAG5	protein_coding	104022881	104029168	rs71417868	1.36E-13	13	14	103996234	104184834	Yes
CKB	protein_coding	103985996	103989448	rs71417868	1.36E-13	13	14	103996234	104184834	Yes
KLC1	protein_coding	104028233	104167888	rs71417868	1.36E-13	13	14	103996234	104184834	Yes
PPP1R13B	protein_coding	104200089	104313927	rs71417868	1.36E-13	13	14	103996234	104184834	Yes
TRMT61A	protein_coding	103995521	104003410	rs71417868	1.36E-13	13	14	103996234	104184834	Yes
XRCC3	protein_coding	104163946	104181841	rs71417868	1.36E-13	13	14	103996234	104184834	Yes
ZFYVE21	protein_coding	104182067	104200005	rs71417868	1.36E-13	13	14	103996234	104184834	Yes
AC027228.1	protein_coding	78830023	78831288	rs3743078	2.44E-13	14	15	78803032	78926732	Yes
HYKK	protein_coding	78799906	78829715	rs3743078	2.44E-13	14	15	78803032	78926732	Yes
CHRNA3	protein_coding	78885394	78913637	rs3743078	2.44E-13	14	15	78803032	78926732	Yes
CHRNA5	protein_coding	78857862	78887611	rs3743078	2.44E-13	14	15	78803032	78926732	Yes
CHRNB4	protein_coding	78916461	79020096	rs3743078	2.44E-13	14	15	78803032	78926732	Yes
IREB2	protein_coding	78729773	78793798	rs3743078	2.44E-13	14	15	78803032	78926732	Yes
PSMA4	protein_coding	78832747	78841604	rs3743078	2.44E-13	14	15	78803032	78926732	Yes
IMMP2L	protein_coding	110303110	111202573	rs12705761	3.03E-13	15	7	110843815	111205915	Yes
SNX19	protein_coding	130745331	130786404	rs10791097	1.09E-12	16	11	130714610	130749330	Yes
ZNF804A	protein_coding	185463093	185804219	rs10196799	1.53E-12	17	2	185601420	185785420	Yes
CNKSR2	protein_coding	21392536	21672813	rs5904539	1.61E-12	18	X	21193266	21570266	No
