Gene	Biotype	Gene_start	Gene_end	Index_SNP	P-value	CLOZUK_loci	chr	Loci_start	Loci_end	GWS in PGC2
MHC	-	28477797	33448354	rs3130820	2.12E-44	1	6	24988105	33842877	Yes
CACNA1C	protein_coding	2079952	2802108	rs2007044	5.63E-20	2	12	2321868	2523772	Yes
CACNA1C-AS4	antisense	2329703	2332645	rs2007044	5.63E-20	2	12	2321868	2523772	Yes
CACNA1C-IT3	sense_intronic	2378942	2398103	rs2007044	5.63E-20	2	12	2321868	2523772	Yes
MAD1L1	protein_coding	1855429	2272878	rs10650434	1.10E-18	3	7	1877502	2190100	Yes
MIR4655	miRNA	1883816	1883889	rs10650434	1.10E-18	3	7	1877502	2190100	Yes
DPYD	protein_coding	97543299	98386605	rs2660304	2.18E-18	4	1	98341152	98559093	Yes
MIR137	miRNA	98511626	98511727	rs2660304	2.18E-18	4	1	98341152	98559093	Yes
MIR137HG	lincRNA	98453556	98515419	rs2660304	2.18E-18	4	1	98341152	98559093	Yes
MIR2682	miRNA	98510798	98510907	rs2660304	2.18E-18	4	1	98341152	98559093	Yes
AS3MT	protein_coding	104629273	104661656	rs12416331	7.09E-18	5	10	104570118	105059896	Yes
C10orf32	protein_coding	104613980	104624718	rs12416331	7.09E-18	5	10	104570118	105059896	Yes
C10orf32-ASMT	protein_coding	104614029	104661656	rs12416331	7.09E-18	5	10	104570118	105059896	Yes
CNNM2	protein_coding	104678050	104849978	rs12416331	7.09E-18	5	10	104570118	105059896	Yes
CYP17A1	protein_coding	104590288	104597290	rs12416331	7.09E-18	5	10	104570118	105059896	Yes
INA	protein_coding	105036920	105050108	rs12416331	7.09E-18	5	10	104570118	105059896	Yes
NT5C2	protein_coding	104845940	104953056	rs12416331	7.09E-18	5	10	104570118	105059896	Yes
PCGF6	protein_coding	105062553	105110891	rs12416331	7.09E-18	5	10	104570118	105059896	Yes
RPEL1	protein_coding	105005644	105007773	rs12416331	7.09E-18	5	10	104570118	105059896	Yes
WBP1L	protein_coding	104503727	104576021	rs12416331	7.09E-18	5	10	104570118	105059896	Yes
LINC00051	ncRNA	143279717	143290364	rs58033671	8.65E-18	6	8	143276678	143358316	Yes
MIR4472-1	miRNA	143257700	143257779	rs58033671	8.65E-18	6	8	143276678	143358316	Yes
TSNARE1	protein_coding	143293441	143484601	rs58033671	8.65E-18	6	8	143276678	143358316	Yes
C2orf47	protein_coding	200820040	200873263	rs2949006	3.69E-17	7	2	200547937	201309547	Yes
C2orf69	protein_coding	200775979	200820658	rs2949006	3.69E-17	7	2	200547937	201309547	Yes
FTCDNL1	protein_coding	200625267	200715896	rs2949006	3.69E-17	7	2	200547937	201309547	Yes
TYW5	protein_coding	200794698	200820459	rs2949006	3.69E-17	7	2	200547937	201309547	Yes
SPATS2L	protein_coding	201170604	201346986	rs2949006	3.69E-17	7	2	200547937	201309547	Yes
ACTR5	protein_coding	37377085	37400834	rs6065094	7.91E-17	8	20	37361504	37485986	Yes
PPP1R16B	protein_coding	37434348	37551667	rs6065094	7.91E-17	8	20	37361504	37485986	Yes
SLC32A1	protein_coding	37353105	37358015	rs6065094	7.91E-17	8	20	37361504	37485986	Yes
BANK1	protein_coding	102332443	102995969	rs13107325	1.19E-16	9	4	103001649	103198082	Yes
SLC39A8	protein_coding	103172198	103352415	rs13107325	1.19E-16	9	4	103001649	103198082	Yes
C2orf82	protein_coding	233721980	233743418	rs4144797	4.33E-16	10	2	233559312	233790649	Yes
EFHD1	protein_coding	233470767	233547491	rs4144797	4.33E-16	10	2	233559312	233790649	Yes
GIGYF2	protein_coding	233562009	233725285	rs4144797	4.33E-16	10	2	233559312	233790649	Yes
KCNJ13	protein_coding	233631174	233641278	rs4144797	4.33E-16	10	2	233559312	233790649	Yes
NGEF	protein_coding	233743396	233877982	rs4144797	4.33E-16	10	2	233559312	233790649	Yes
ABCB9	protein_coding	123405498	123466196	rs2851447	5.55E-16	11	12	123447928	123902361	Yes
ARL6IP4	protein_coding	123464607	123467456	rs2851447	5.55E-16	11	12	123447928	123902361	Yes
C12orf65	protein_coding	123717463	123742506	rs2851447	5.55E-16	11	12	123447928	123902361	Yes
CDK2AP1	protein_coding	123745528	123756881	rs2851447	5.55E-16	11	12	123447928	123902361	Yes
PITPNM2-AS1	ncRNA	123565931	123569291	rs2851447	5.55E-16	11	12	123447928	123902361	Yes
MIR4304	miRNA	123495214	123495275	rs2851447	5.55E-16	11	12	123447928	123902361	Yes
MIR8072	miRNA	123849311	123849390	rs2851447	5.55E-16	11	12	123447928	123902361	Yes
MPHOSPH9	protein_coding	123636867	123728561	rs2851447	5.55E-16	11	12	123447928	123902361	Yes
OGFOD2	protein_coding	123459127	123464590	rs2851447	5.55E-16	11	12	123447928	123902361	Yes
PITPNM2	protein_coding	123468027	123634562	rs2851447	5.55E-16	11	12	123447928	123902361	Yes
RILPL2	protein_coding	123899936	123921264	rs2851447	5.55E-16	11	12	123447928	123902361	Yes
SBNO1	protein_coding	123773656	123849390	rs2851447	5.55E-16	11	12	123447928	123902361	Yes
SETD8	protein_coding	123868320	123893905	rs2851447	5.55E-16	11	12	123447928	123902361	Yes
ESAM	protein_coding	124622026	124632186	rs12293670	1.70E-15	12	11	124610011	124620147	Yes
MSANTD2	protein_coding	124636394	124670569	rs12293670	1.70E-15	12	11	124610011	124620147	Yes
NRGN	protein_coding	124609742	124617106	rs12293670	1.70E-15	12	11	124610011	124620147	Yes
VSIG2	protein_coding	124617368	124622134	rs12293670	1.70E-15	12	11	124610011	124620147	Yes
LOC101927295	ncRNA	73771853	73804560	rs12129573	8.94E-15	13	1	73736562	73991651	Yes
CENPM	protein_coding	42334725	42343168	rs6002655	2.15E-14	14	22	42315790	42689370	Yes
LINC00634	pseudogene	42348169	42354937	rs6002655	2.15E-14	14	22	42315790	42689370	Yes
MIR33A	miRNA	42296948	42297016	rs6002655	2.15E-14	14	22	42315790	42689370	Yes
SEPT3	protein_coding	42372276	42394225	rs6002655	2.15E-14	14	22	42315790	42689370	Yes
SHISA8	protein_coding	42307297	42310570	rs6002655	2.15E-14	14	22	42315790	42689370	Yes
SREBF2	protein_coding	42229109	42303312	rs6002655	2.15E-14	14	22	42315790	42689370	Yes
TNFRSF13C	protein_coding	42321045	42322822	rs6002655	2.15E-14	14	22	42315790	42689370	Yes
CYP2D6	protein_coding	42534642	42539049	rs6002655	2.15E-14	14	22	42315790	42689370	Yes
CYP2D7P	polymorphic_pseudogene	42524055	42528427	rs6002655	2.15E-14	14	22	42315790	42689370	Yes
FAM109B	protein_coding	42470255	42475445	rs6002655	2.15E-14	14	22	42315790	42689370	Yes
OGFRP1	pseudogene	42665759	42670868	rs6002655	2.15E-14	14	22	42315790	42689370	Yes
NAGA	protein_coding	42454358	42466846	rs6002655	2.15E-14	14	22	42315790	42689370	Yes
NDUFA6	protein_coding	42481529	42486959	rs6002655	2.15E-14	14	22	42315790	42689370	Yes
NDUFA6-AS1	processed_transcript	42486935	42535286	rs6002655	2.15E-14	14	22	42315790	42689370	Yes
SEPT3	protein_coding	42372276	42394225	rs6002655	2.15E-14	14	22	42315790	42689370	Yes
SMDT1	protein_coding	42475695	42480288	rs6002655	2.15E-14	14	22	42315790	42689370	Yes
TCF20	protein_coding	42543863	42727524	rs6002655	2.15E-14	14	22	42315790	42689370	Yes
WBP2NL	protein_coding	42394729	42454460	rs6002655	2.15E-14	14	22	42315790	42689370	Yes
ATP2A2	protein_coding	110718561	110788898	rs4766428	2.68E-14	15	12	110723245	110723245	Yes
LINC00637	lincRNA	104314058	104324386	rs10083370	3.44E-14	16	14	104188920	104537680	Yes
PPP1R13B	protein_coding	104200089	104313927	rs10083370	3.44E-14	16	14	104188920	104537680	Yes
XRCC3	protein_coding	104163946	104181841	rs10083370	3.44E-14	16	14	104188920	104537680	Yes
ZFYVE21	protein_coding	104182067	104200005	rs10083370	3.44E-14	16	14	104188920	104537680	Yes
ASPG	protein_coding	104552016	104579098	rs10083370	3.44E-14	16	14	104188920	104537680	Yes
C14orf2	protein_coding	104378625	104394606	rs10083370	3.44E-14	16	14	104188920	104537680	Yes
RD3L	protein_coding	104406763	104408645	rs10083370	3.44E-14	16	14	104188920	104537680	Yes
TDRD9	protein_coding	104394799	104519004	rs10083370	3.44E-14	16	14	104188920	104537680	Yes
DMTF1	protein_coding	86781677	86825653	rs12704290	3.57E-14	17	7	86403263	86948073	Yes
KIAA1324L	protein_coding	86506222	86689015	rs12704290	3.57E-14	17	7	86403263	86948073	Yes
TMEM243	protein_coding	86825478	86849903	rs12704290	3.57E-14	17	7	86403263	86948073	Yes
TP53TG1	lincRNA	86954541	86974831	rs12704290	3.57E-14	17	7	86403263	86948073	Yes
GRM3	protein_coding	86273230	86494200	rs12704290	3.57E-14	17	7	86403263	86948073	Yes
ZSWIM6	protein_coding	60628100	60841997	rs7701440	3.72E-14	18	5	60563907	60843706	Yes
TCF4	protein_coding	52889562	53332018	rs5825114	5.03E-14	19	18	52747689	53804156	Yes
LINC01416	ncRNA	53548919	53587430	rs5825114	5.03E-14	19	18	52747689	53804156	Yes
LINC01539	ncRMA	53750587	53804767	rs5825114	5.03E-14	19	18	52747689	53804156	Yes
IGSF9B	protein_coding	133778459	133826880	rs4936215	5.32E-14	20	11	133822133	133853008	Yes
AMBRA1	protein_coding	46417964	46615675	rs7951870	2.99E-13	21	11	46342942	46751495	Yes
ARHGAP1	protein_coding	46698630	46722165	rs7951870	2.99E-13	21	11	46342942	46751495	Yes
ATG13	protein_coding	46638826	46696368	rs7951870	2.99E-13	21	11	46342942	46751495	Yes
CHRM4	protein_coding	46406640	46408107	rs7951870	2.99E-13	21	11	46342942	46751495	Yes
CKAP5	protein_coding	46764598	46867847	rs7951870	2.99E-13	21	11	46342942	46751495	Yes
CREB3L1	protein_coding	46299212	46342972	rs7951870	2.99E-13	21	11	46342942	46751495	Yes
DGKZ	protein_coding	46354455	46402104	rs7951870	2.99E-13	21	11	46342942	46751495	Yes
F2	protein_coding	46740730	46761056	rs7951870	2.99E-13	21	11	46342942	46751495	Yes
HARBI1	protein_coding	46624411	46639459	rs7951870	2.99E-13	21	11	46342942	46751495	Yes
MDK	protein_coding	46402306	46405375	rs7951870	2.99E-13	21	11	46342942	46751495	Yes
MIR3160-1	miRNA	46473355	46473439	rs7951870	2.99E-13	21	11	46342942	46751495	Yes
MIR3160-2	miRNA	46473357	46473437	rs7951870	2.99E-13	21	11	46342942	46751495	Yes
MIR4688	miRNA	46397952	46398034	rs7951870	2.99E-13	21	11	46342942	46751495	Yes
ZNF408	protein_coding	46722368	46727462	rs7951870	2.99E-13	21	11	46342942	46751495	Yes
ANKRD44	protein_coding	197831741	198175897	rs6434928	3.62E-13	22	2	198146381	198940251	Yes
ANKRD44-IT1	sense_intronic	198115582	198167243	rs6434928	3.62E-13	22	2	198146381	198940251	Yes
BOLL	protein_coding	198591603	198651486	rs6434928	3.62E-13	22	2	198146381	198940251	Yes
COQ10B	protein_coding	198318147	198340032	rs6434928	3.62E-13	22	2	198146381	198940251	Yes
HSPD1	protein_coding	198351305	198381461	rs6434928	3.62E-13	22	2	198146381	198940251	Yes
HSPE1	protein_coding	198364718	198368181	rs6434928	3.62E-13	22	2	198146381	198940251	Yes
HSPE1-MOB4	protein_coding	198365137	198415450	rs6434928	3.62E-13	22	2	198146381	198940251	Yes
MARS2	protein_coding	198570087	198573113	rs6434928	3.62E-13	22	2	198146381	198940251	Yes
MOB4	protein_coding	198380295	198418423	rs6434928	3.62E-13	22	2	198146381	198940251	Yes
PLCL1	protein_coding	198669426	199437305	rs6434928	3.62E-13	22	2	198146381	198940251	Yes
RFTN2	protein_coding	198432948	198540769	rs6434928	3.62E-13	22	2	198146381	198940251	Yes
SF3B1	protein_coding	198254508	198299815	rs6434928	3.62E-13	22	2	198146381	198940251	Yes
CACNB2	protein_coding	18429606	18830798	rs7893279	4.80E-13	23	10	18538669	18751891	Yes
ALDOA	protein_coding	30064411	30081778	rs11646127	5.52E-13	24	16	29924422	30117253	Yes
ASPHD1	protein_coding	29911696	29931185	rs11646127	5.52E-13	24	16	29924422	30117253	Yes
